instance,k,model,runtime,lb,ub,bb-nodes,simplex-iter,num-vars,num-constrs
bulgaria,5,ER-S,379.42,295.7,295.7,2760.0,1071407.0,406,10237
bulgaria,5,D-Flow,1440.47,295.7,295.7,251007.0,21316679.0,1258,3410
bulgaria,5,D-Tree,18000.0,214.5,297.2,6035195.0,180612843.0,526,9977
bulgaria,6,ER-S,38.84,202.8,202.8,486.0,174915.0,406,10237
bulgaria,6,D-Flow,3759.51,202.8,202.8,764568.0,61345906.0,1434,4086
bulgaria,6,D-Tree,5605.67,202.8,202.8,2244104.0,56641315.0,526,9977
bulgaria,7,ER-S,16.14,149.9,149.9,279.0,93624.0,406,10237
bulgaria,7,D-Flow,4954.6,149.9,149.9,1256649.0,86078896.0,1610,4762
bulgaria,7,D-Tree,675.45,149.9,149.9,299818.0,6712760.0,526,9977
bulgaria,8,ER-S,7.96,114.9,114.9,174.0,43525.0,406,10237
bulgaria,8,D-Flow,9602.97,114.9,114.9,3840188.0,190240221.0,1786,5438
bulgaria,8,D-Tree,49.64,114.9,114.9,19009.0,412811.0,526,9977
bulgaria,9,ER-S,7.35,96.0,96.0,199.0,41119.0,406,10237
bulgaria,9,D-Flow,18000.0,70.7,96.0,6943538.0,334796632.0,1962,6114
bulgaria,9,D-Tree,29.27,96.0,96.0,10606.0,204399.0,526,9977
finnland,10,ER-S,0.12,7.7,7.7,1.0,385.0,190,3100
finnland,10,D-Flow,3.51,7.7,7.7,1375.0,60808.0,1371,3771
finnland,10,D-Tree,0.59,7.7,7.7,833.0,7826.0,272,3009
finnland,3,ER-S,1.17,116.4,116.4,11.0,5492.0,190,3100
finnland,3,D-Flow,0.99,116.4,116.4,209.0,16382.0,531,1146
finnland,3,D-Tree,188.16,116.4,116.4,125741.0,3489227.0,272,3009
finnland,4,ER-S,0.7,63.6,63.6,5.0,2964.0,190,3100
finnland,4,D-Flow,3.04,63.6,63.6,913.0,58100.0,651,1521
finnland,4,D-Tree,44.18,63.6,63.6,43259.0,682168.0,272,3009
finnland,5,ER-S,0.56,43.5,43.5,15.0,3103.0,190,3100
finnland,5,D-Flow,5.37,43.5,43.5,2576.0,95015.0,771,1896
finnland,5,D-Tree,17.16,43.5,43.5,13505.0,277543.0,272,3009
finnland,6,ER-S,0.57,28.4,28.4,1.0,2812.0,190,3100
finnland,6,D-Flow,3.97,28.4,28.4,1607.0,82053.0,891,2271
finnland,6,D-Tree,6.01,28.4,28.4,4261.0,68490.0,272,3009
finnland,7,ER-S,0.7,21.8,21.8,39.0,3471.0,190,3100
finnland,7,D-Flow,4.19,21.8,21.8,2003.0,90526.0,1011,2646
finnland,7,D-Tree,3.78,21.8,21.8,2193.0,33267.0,272,3009
finnland,8,ER-S,0.22,15.5,15.5,1.0,908.0,190,3100
finnland,8,D-Flow,6.8,15.5,15.5,2310.0,106690.0,1131,3021
finnland,8,D-Tree,2.23,15.5,15.5,2163.0,22270.0,272,3009
finnland,9,ER-S,0.2,11.3,11.3,1.0,914.0,190,3100
finnland,9,D-Flow,5.24,11.3,11.3,2237.0,86138.0,1251,3396
finnland,9,D-Tree,1.89,11.3,11.3,2708.0,25643.0,272,3009
germany,10,ER-S,428.52,43.5,43.5,3274.0,983287.0,780,28200
germany,10,D-Flow,18000.0,20.2,43.5,3950758.0,250739018.0,3321,11851
germany,10,D-Tree,18000.0,39.4,43.5,4793586.0,83041338.0,960,27637
germany,3,ER-S,23.04,291.2,291.2,1.0,53711.0,780,28200
germany,3,D-Flow,78.37,291.2,291.2,8971.0,1129060.0,1515,3584
germany,3,D-Tree,18000.0,59.7,406.2,1070234.0,92442537.0,960,27637
germany,4,ER-S,65.8,187.5,187.5,77.0,160965.0,780,28200
germany,4,D-Flow,608.38,187.5,187.5,32392.0,6366390.0,1773,4765
germany,4,D-Tree,18000.0,57.2,187.5,1780130.0,110805104.0,960,27637
germany,5,ER-S,121.6,135.9,135.9,305.0,322009.0,780,28200
germany,5,D-Flow,4290.5,135.9,135.9,383865.0,58331030.0,2031,5946
germany,5,D-Tree,18000.0,49.7,142.7,2215446.0,117848626.0,960,27637
germany,6,ER-S,32.52,91.1,91.1,103.0,86215.0,780,28200
germany,6,D-Flow,7684.89,91.1,91.1,1146607.0,120639169.0,2289,7127
germany,6,D-Tree,18000.0,50.1,91.1,2931703.0,108199015.0,960,27637
germany,7,ER-S,200.69,72.4,72.4,1242.0,481242.0,780,28200
germany,7,D-Flow,18000.0,57.4,72.4,4479428.0,298220053.0,2547,8308
germany,7,D-Tree,18000.0,44.4,72.4,3168478.0,104611636.0,960,27637
germany,8,ER-S,109.43,59.0,59.0,788.0,306723.0,780,28200
germany,8,D-Flow,18000.0,36.0,59.0,3100385.0,268650145.0,2805,9489
germany,8,D-Tree,18000.0,44.5,59.0,3099066.0,88250379.0,960,27637
germany,9,ER-S,377.07,50.5,50.5,2475.0,711444.0,780,28200
germany,9,D-Flow,18000.0,26.9,50.5,4073240.0,258567831.0,3063,10670
germany,9,D-Tree,18000.01,35.7,50.5,5076725.0,68599468.0,960,27637
greece,10,ER-S,360.98,186.3,186.3,1524.0,718474.0,741,26052
greece,10,D-Flow,18000.0,54.1,188.1,3436740.0,231889161.0,2883,10690
greece,10,D-Tree,1202.34,186.3,186.3,289091.0,6470426.0,883,25489
greece,3,ER-S,393.72,979.8,979.8,284.0,675072.0,741,26052
greece,3,D-Flow,428.34,979.8,979.8,8722.0,3229529.0,1357,3235
greece,3,D-Tree,18000.0,376.7,979.8,1159772.0,87411734.0,883,25489
greece,4,ER-S,1311.11,716.9,716.9,1444.0,2139303.0,741,26052
greece,4,D-Flow,695.53,716.9,716.9,89642.0,8544460.0,1575,4300
greece,4,D-Tree,18000.0,360.6,716.9,1629298.0,97416262.0,883,25489
greece,5,ER-S,309.93,500.5,500.5,494.0,587229.0,741,26052
greece,5,D-Flow,1574.56,500.5,500.5,114872.0,19517079.0,1793,5365
greece,5,D-Tree,18000.0,305.0,500.5,1905953.0,116407777.0,883,25489
greece,6,ER-S,355.58,395.7,395.7,729.0,624737.0,741,26052
greece,6,D-Flow,6985.7,395.7,395.7,1045988.0,104058429.0,2011,6430
greece,6,D-Tree,18000.0,269.3,395.7,2737056.0,118283844.0,883,25489
greece,7,ER-S,402.11,316.5,316.5,1239.0,715763.0,741,26052
greece,7,D-Flow,18000.0,230.2,316.5,2605875.0,275333879.0,2229,7495
greece,7,D-Tree,18000.0,265.1,316.5,2921042.0,96836933.0,883,25489
greece,8,ER-S,1027.81,265.6,265.6,2568.0,1774909.0,741,26052
