instance,k,model,runtime,lb,ub,bb-nodes,simplex-iter,num-vars,num-constrs
sar-size6-roh90p,4,D-Flow,6180.58,1039.54,1039.64,522742.0,78413372.0,1398,3814
sar-size6-roh90p,4,D-Tree,18000.0,631.82,1083.31,1407690.0,104658973.0,786,21577
sar-size6-roh90p,5,ER-S,37.85,668.48,668.48,87.0,106387.0,666,22089
sar-size6-roh90p,5,D-Flow,14059.45,668.43,668.48,981615.0,175104111.0,1590,4758
sar-size6-roh90p,5,D-Tree,18000.0,544.3,668.48,2209946.0,112364381.0,786,21577
sar-size6-roh90p,6,ER-S,21.49,481.95,481.95,89.0,60367.0,666,22089
sar-size6-roh90p,6,D-Flow,18000.0,355.68,481.95,2799867.0,260586037.0,1782,5702
sar-size6-roh90p,6,D-Tree,1215.02,481.91,481.95,154476.0,8030174.0,786,21577
sar-size6-roh90p,7,ER-S,20.8,377.45,377.45,131.0,72609.0,666,22089
sar-size6-roh90p,7,D-Flow,18000.0,225.04,377.45,3146225.0,283919748.0,1974,6646
sar-size6-roh90p,7,D-Tree,93.87,377.42,377.45,8836.0,445753.0,786,21577
sar-size6-roh90p,8,ER-S,10.34,297.93,297.93,125.0,44696.0,666,22089
sar-size6-roh90p,8,D-Flow,18000.0,176.44,297.93,4585014.0,292605835.0,2166,7590
sar-size6-roh90p,8,D-Tree,29.57,297.93,297.93,2709.0,118842.0,786,21577
sar-size6-roh90p,9,ER-S,5.83,237.36,237.36,91.0,23191.0,666,22089
sar-size6-roh90p,9,D-Flow,18000.0,125.68,237.36,4321972.0,285604704.0,2358,8534
sar-size6-roh90p,9,D-Tree,10.0,237.36,237.36,841.0,24743.0,786,21577
sar-size7-roh0p,10,ER-S,3614.2,535.4,535.4,1908.0,3336811.0,1225,56500
sar-size7-roh0p,10,D-Flow,18000.0,45.02,535.4,1587892.0,176435569.0,3836,16171
sar-size7-roh0p,10,D-Tree,18000.0,453.95,535.4,1229743.0,54853150.0,1393,55490
sar-size7-roh0p,3,ER-S,18000.0,2529.33,2774.52,1643.0,13491759.0,1225,56500
sar-size7-roh0p,3,D-Flow,18000.0,1678.47,2769.95,212728.0,128655489.0,1974,4887
sar-size7-roh0p,3,D-Tree,18000.0,689.07,2774.52,410251.0,44550466.0,1393,55490
sar-size7-roh0p,4,ER-S,18000.0,1758.35,1874.74,2084.0,13018516.0,1225,56500
sar-size7-roh0p,4,D-Flow,18000.0,754.37,1889.76,265039.0,123458065.0,2240,6499
sar-size7-roh0p,4,D-Tree,18000.0,675.49,1913.77,453105.0,52518194.0,1393,55490
sar-size7-roh0p,5,ER-S,18000.0,1332.66,1406.28,2441.0,12323984.0,1225,56500
sar-size7-roh0p,5,D-Flow,18000.0,477.46,1430.04,270450.0,127159005.0,2506,8111
sar-size7-roh0p,5,D-Tree,18000.0,620.46,1445.17,491496.0,52394429.0,1393,55490
sar-size7-roh0p,6,ER-S,7141.67,1079.68,1079.7,1506.0,5169468.0,1225,56500
sar-size7-roh0p,6,D-Flow,18000.0,224.03,1103.87,280815.0,106353468.0,2772,9723
sar-size7-roh0p,6,D-Tree,18000.0,583.01,1177.74,685273.0,47303380.0,1393,55490
sar-size7-roh0p,7,ER-S,18000.05,874.33,906.01,4394.0,10561308.0,1225,56500
sar-size7-roh0p,7,D-Flow,18000.0,132.23,906.01,1988019.0,235769776.0,3038,11335
sar-size7-roh0p,7,D-Tree,18000.0,559.22,906.01,729065.0,46567528.0,1393,55490
sar-size7-roh0p,8,ER-S,18000.01,736.39,756.65,4788.0,10126094.0,1225,56500
sar-size7-roh0p,8,D-Flow,18000.0,83.81,763.12,1764821.0,226537102.0,3304,12947
sar-size7-roh0p,8,D-Tree,18000.0,513.14,756.65,935338.0,55974561.0,1393,55490
sar-size7-roh0p,9,ER-S,3607.06,617.86,617.86,1573.0,3406658.0,1225,56500
sar-size7-roh0p,9,D-Flow,18000.0,59.01,617.86,853389.0,171590853.0,3570,14559
sar-size7-roh0p,9,D-Tree,18000.0,472.18,617.86,978455.0,47247955.0,1393,55490
sar-size7-roh30p,10,ER-S,2915.21,594.71,594.75,1618.0,3292142.0,1225,56500
sar-size7-roh30p,10,D-Flow,18000.0,42.72,599.21,1136101.0,172722067.0,3836,16171
sar-size7-roh30p,10,D-Tree,18000.0,512.51,599.21,1215662.0,55146485.0,1393,55490
sar-size7-roh30p,3,ER-S,18000.0,2926.32,3116.57,1708.0,13456703.0,1225,56500
sar-size7-roh30p,3,D-Flow,18000.0,2030.43,3268.98,319725.0,142980399.0,1974,4887
sar-size7-roh30p,3,D-Tree,18000.0,806.48,1e+100,451827.0,51250210.0,1393,55490
sar-size7-roh30p,4,ER-S,18000.06,2042.02,2094.72,1743.0,10947899.0,1225,56500
sar-size7-roh30p,4,D-Flow,18000.0,804.96,2233.78,238147.0,124820397.0,2240,6499
sar-size7-roh30p,4,D-Tree,18000.0,760.91,2313.05,389879.0,41192697.0,1393,55490
sar-size7-roh30p,5,ER-S,18000.0,1493.07,1617.61,2560.0,12965678.0,1225,56500
sar-size7-roh30p,5,D-Flow,18000.0,461.58,1617.61,246358.0,124877399.0,2506,8111
sar-size7-roh30p,5,D-Tree,18000.0,718.62,1692.61,520977.0,44050420.0,1393,55490
sar-size7-roh30p,6,ER-S,18000.0,1200.52,1279.93,3403.0,12624717.0,1225,56500
sar-size7-roh30p,6,D-Flow,18000.0,185.02,1305.52,252898.0,102168889.0,2772,9723
sar-size7-roh30p,6,D-Tree,18000.0,603.99,1277.96,1767157.0,64332588.0,1393,55490
sar-size7-roh30p,7,ER-S,18000.04,967.91,1049.79,4841.0,12721032.0,1225,56500
sar-size7-roh30p,7,D-Flow,18000.0,132.16,1088.9,1862476.0,232299761.0,3038,11335
sar-size7-roh30p,7,D-Tree,18000.0,618.45,1070.98,706078.0,46275971.0,1393,55490
sar-size7-roh30p,8,ER-S,18000.0,826.15,856.68,4416.0,10912324.0,1225,56500
sar-size7-roh30p,8,D-Flow,18000.0,79.86,901.62,1695729.0,210917570.0,3304,12947
sar-size7-roh30p,8,D-Tree,18000.0,597.46,872.52,814220.0,45966947.0,1393,55490
sar-size7-roh30p,9,ER-S,2385.48,695.85,695.87,1076.0,2499216.0,1225,56500
sar-size7-roh30p,9,D-Flow,18000.0,56.68,695.87,1019884.0,167882949.0,3570,14559
sar-size7-roh30p,9,D-Tree,18000.0,547.5,695.87,1007351.0,47968817.0,1393,55490
sar-size7-roh60p,10,ER-S,11413.25,482.36,482.36,6448.0,7725915.0,1225,56500
sar-size7-roh60p,10,D-Flow,18000.0,50.4,527.08,1727245.0,202614189.0,3836,16171
sar-size7-roh60p,10,D-Tree,18000.0,381.28,482.36,909629.0,46268925.0,1393,55490
sar-size7-roh60p,3,ER-S,7748.44,2439.55,2439.55,815.0,6722655.0,1225,56500
sar-size7-roh60p,3,D-Flow,18000.0,2063.96,2439.55,552225.0,164610095.0,1974,4887
sar-size7-roh60p,3,D-Tree,18000.01,646.96,2753.08,290256.0,51395167.0,1393,55490
sar-size7-roh60p,4,ER-S,8409.97,1680.58,1680.58,1345.0,6517140.0,1225,56500
sar-size7-roh60p,4,D-Flow,18000.01,1051.56,1680.58,143219.0,91903329.0,2240,6499
sar-size7-roh60p,4,D-Tree,18000.01,598.08,2098.96,345892.0,50215348.0,1393,55490
sar-size7-roh60p,5,ER-S,1642.46,1210.27,1210.27,405.0,1466517.0,1225,56500
sar-size7-roh60p,5,D-Flow,18000.0,520.64,1210.27,313757.0,123701278.0,2506,8111
sar-size7-roh60p,5,D-Tree,18000.0,558.25,1220.54,367952.0,40732811.0,1393,55490
sar-size7-roh60p,6,ER-S,18000.01,958.54,972.95,4234.0,11644114.0,1225,56500
sar-size7-roh60p,6,D-Flow,18000.0,296.2,988.35,347178.0,121821429.0,2772,9723
sar-size7-roh60p,6,D-Tree,18000.0,520.33,988.29,566996.0,45084554.0,1393,55490
sar-size7-roh60p,7,ER-S,18000.01,768.19,803.74,6932.0,11338981.0,1225,56500
sar-size7-roh60p,7,D-Flow,18000.0,145.36,830.85,778712.0,172369892.0,3038,11335
sar-size7-roh60p,7,D-Tree,18000.0,475.7,826.08,609281.0,52698244.0,1393,55490
sar-size7-roh60p,8,ER-S,11379.43,652.33,652.33,3869.0,6757896.0,1225,56500
sar-size7-roh60p,8,D-Flow,18000.0,74.75,672.98,773783.0,155055556.0,3304,12947
sar-size7-roh60p,8,D-Tree,18000.0,456.81,676.05,566396.0,42870540.0,1393,55490
sar-size7-roh60p,9,ER-S,12975.71,558.77,558.77,6057.0,10526858.0,1225,56500
sar-size7-roh60p,9,D-Flow,18000.0,64.36,558.77,1199139.0,196404966.0,3570,14559
sar-size7-roh60p,9,D-Tree,18000.0,425.2,558.77,706191.0,44796748.0,1393,55490
sar-size7-roh90p,10,ER-S,691.61,702.49,702.49,905.0,1067912.0,1225,56500
sar-size7-roh90p,10,D-Flow,18000.0,85.29,716.97,1812226.0,208404697.0,3836,16171
sar-size7-roh90p,10,D-Tree,18000.0,646.34,702.49,1249024.0,57439594.0,1393,55490
sar-size7-roh90p,3,ER-S,13809.59,4567.88,4567.88,1175.0,11008288.0,1225,56500
sar-size7-roh90p,3,D-Flow,18000.0,3391.85,4567.88,384489.0,155175886.0,1974,4887
sar-size7-roh90p,3,D-Tree,18000.0,1038.94,4614.88,342094.0,42283191.0,1393,55490
sar-size7-roh90p,4,ER-S,18000.0,2870.83,2981.79,2460.0,14323644.0,1225,56500
sar-size7-roh90p,4,D-Flow,18000.0,1781.99,2981.79,109199.0,92918774.0,2240,6499
sar-size7-roh90p,4,D-Tree,18000.0,990.86,3092.89,408719.0,41920325.0,1393,55490
sar-size7-roh90p,5,ER-S,18000.0,1992.35,2196.46,3897.0,13420829.0,1225,56500
sar-size7-roh90p,5,D-Flow,18000.0,892.98,2148.17,345800.0,133604890.0,2506,8111
sar-size7-roh90p,5,D-Tree,18000.0,916.64,2148.17,561810.0,58025588.0,1393,55490
sar-size7-roh90p,6,ER-S,18000.0,1534.47,1592.27,4849.0,13246149.0,1225,56500
sar-size7-roh90p,6,D-Flow,18000.0,430.95,1592.27,289863.0,112977458.0,2772,9723
sar-size7-roh90p,6,D-Tree,18000.0,826.4,1835.29,614584.0,45195816.0,1393,55490
sar-size7-roh90p,7,ER-S,7958.19,1241.79,1241.79,2833.0,5920620.0,1225,56500
sar-size7-roh90p,7,D-Flow,18000.0,283.12,1241.79,2157609.0,261776657.0,3038,11335
sar-size7-roh90p,7,D-Tree,18000.01,780.94,1241.79,696825.0,55941447.0,1393,55490
sar-size7-roh90p,8,ER-S,6033.23,1023.87,1023.87,2881.0,4998056.0,1225,56500
sar-size7-roh90p,8,D-Flow,18000.0,160.54,1061.0,1201124.0,198878237.0,3304,12947
sar-size7-roh90p,8,D-Tree,18000.01,741.86,1023.87,877033.0,47344901.0,1393,55490
sar-size7-roh90p,9,ER-S,1603.0,840.04,840.1,1821.0,2032549.0,1225,56500
sar-size7-roh90p,9,D-Flow,18000.01,118.54,886.26,1983577.0,203617408.0,3570,14559
sar-size7-roh90p,9,D-Tree,18000.0,664.82,840.1,836721.0,46282264.0,1393,55490
sar-size8-roh0p,10,ER-S,18000.0,1130.85,1218.52,1083.0,8541952.0,2080,127075
sar-size8-roh0p,10,D-Flow,18000.01,36.44,1207.75,601892.0,113376963.0,5536,26006
sar-size8-roh0p,10,D-Tree,18000.0,803.1,1225.78,271912.0,23605820.0,2304,125281
sar-size8-roh0p,3,ER-S,18000.0,4911.1,6003.52,267.0,6894958.0,2080,127075
sar-size8-roh0p,3,D-Flow,18000.0,2103.43,5973.56,78298.0,80487771.0,3072,7848
sar-size8-roh0p,3,D-Tree,18000.01,1125.15,1e+100,169773.0,26186583.0,2304,125281
sar-size8-roh0p,4,ER-S,18000.0,3522.21,4450.32,385.0,7044185.0,2080,127075
sar-size8-roh0p,4,D-Flow,18000.02,1278.9,4298.46,16320.0,25019084.0,3424,10442
sar-size8-roh0p,4,D-Tree,18000.0,1079.08,1e+100,201469.0,28109386.0,2304,125281
sar-size8-roh0p,5,ER-S,18000.0,2709.32,3063.47,518.0,7246772.0,2080,127075
sar-size8-roh0p,5,D-Flow,18000.0,462.73,3739.51,150930.0,83671996.0,3776,13036
sar-size8-roh0p,5,D-Tree,18000.0,1008.03,1e+100,240004.0,28412152.0,2304,125281
sar-size8-roh0p,6,ER-S,18000.01,2166.55,2551.45,641.0,7174819.0,2080,127075
sar-size8-roh0p,6,D-Flow,18000.0,285.05,2600.64,124479.0,75991243.0,4128,15630
sar-size8-roh0p,6,D-Tree,18000.0,974.76,2832.56,205987.0,22673900.0,2304,125281
sar-size8-roh0p,7,ER-S,18000.0,1795.6,2008.06,682.0,6912736.0,2080,127075
sar-size8-roh0p,7,D-Flow,18000.0,123.85,2131.64,450922.0,107601069.0,4480,18224
sar-size8-roh0p,7,D-Tree,18000.0,919.74,2685.26,232908.0,23395988.0,2304,125281
sar-size8-roh0p,8,ER-S,18000.01,1519.91,1690.24,766.0,7230393.0,2080,127075
sar-size8-roh0p,8,D-Flow,18000.0,97.88,1693.65,424979.0,112726249.0,4832,20818
sar-size8-roh0p,8,D-Tree,18000.0,863.66,1759.77,315271.0,24436543.0,2304,125281
sar-size8-roh0p,9,ER-S,18000.0,1298.14,1443.12,815.0,7652960.0,2080,127075
sar-size8-roh0p,9,D-Flow,18000.0,48.77,1446.53,589894.0,115468446.0,5184,23412
sar-size8-roh0p,9,D-Tree,18000.0,846.94,1438.15,241138.0,23082488.0,2304,125281
sar-size8-roh30p,10,ER-S,18000.11,1246.62,1332.66,1468.0,9097763.0,2080,127075
sar-size8-roh30p,10,D-Flow,18000.01,34.99,1388.1,699790.0,129582826.0,5536,26006
sar-size8-roh30p,10,D-Tree,18000.01,902.24,1390.8,313561.0,29806238.0,2304,125281
sar-size8-roh30p,3,ER-S,18000.01,5281.3,6423.68,317.0,6832042.0,2080,127075
sar-size8-roh30p,3,D-Flow,18000.0,2540.03,6912.07,24982.0,41695034.0,3072,7848
sar-size8-roh30p,3,D-Tree,18000.0,1282.96,1e+100,185111.0,37595274.0,2304,125281
sar-size8-roh30p,4,ER-S,18000.03,3771.29,4335.87,520.0,7462313.0,2080,127075
sar-size8-roh30p,4,D-Flow,18000.0,729.08,4805.46,89571.0,67844223.0,3424,10442
sar-size8-roh30p,4,D-Tree,18000.02,1202.77,7095.49,192087.0,25452325.0,2304,125281
sar-size8-roh30p,5,ER-S,18000.01,2891.03,3312.89,610.0,7564338.0,2080,127075
sar-size8-roh30p,5,D-Flow,18000.0,416.54,3462.78,143619.0,82748884.0,3776,13036
sar-size8-roh30p,5,D-Tree,18000.0,1132.74,1e+100,273375.0,39652207.0,2304,125281
sar-size8-roh30p,6,ER-S,18000.0,2347.07,2612.89,691.0,7082154.0,2080,127075
sar-size8-roh30p,6,D-Flow,18000.0,268.9,3154.87,136038.0,67164363.0,4128,15630
sar-size8-roh30p,6,D-Tree,18000.0,1095.77,2976.64,203648.0,22426070.0,2304,125281
sar-size8-roh30p,7,ER-S,18000.01,1931.97,2230.28,718.0,6919290.0,2080,127075
sar-size8-roh30p,7,D-Flow,18000.01,99.13,2296.55,465568.0,108287429.0,4480,18224
sar-size8-roh30p,7,D-Tree,18000.0,1067.21,2319.46,231618.0,22842071.0,2304,125281
sar-size8-roh30p,8,ER-S,18000.01,1647.51,1806.42,876.0,7721323.0,2080,127075
sar-size8-roh30p,8,D-Flow,18000.0,74.21,1806.42,409493.0,96762901.0,4832,20818
sar-size8-roh30p,8,D-Tree,18000.0,1019.18,2326.53,232450.0,28454982.0,2304,125281
sar-size8-roh30p,9,ER-S,18000.01,1425.55,1496.87,1189.0,8226767.0,2080,127075
sar-size8-roh30p,9,D-Flow,18000.0,52.94,1521.38,426611.0,107943184.0,5184,23412
sar-size8-roh30p,9,D-Tree,18000.05,955.93,1609.04,300635.0,28558592.0,2304,125281
sar-size8-roh60p,10,ER-S,18000.0,1161.17,1310.56,952.0,8037617.0,2080,127075
sar-size8-roh60p,10,D-Flow,18000.0,43.1,1326.57,622998.0,126329996.0,5536,26006
sar-size8-roh60p,10,D-Tree,18000.01,794.38,1348.15,298157.0,24500456.0,2304,125281
sar-size8-roh60p,3,ER-S,18000.0,5715.57,8635.63,200.0,6245446.0,2080,127075
sar-size8-roh60p,3,D-Flow,18000.0,2470.59,7856.03,87990.0,77981118.0,3072,7848
sar-size8-roh60p,3,D-Tree,18000.0,1156.25,1e+100,172213.0,26744946.0,2304,125281
sar-size8-roh60p,4,ER-S,18000.0,4037.15,5010.12,299.0,6590638.0,2080,127075
sar-size8-roh60p,4,D-Flow,18000.0,960.0,5561.16,109235.0,76973385.0,3424,10442
sar-size8-roh60p,4,D-Tree,18000.0,1098.74,1e+100,227723.0,29240681.0,2304,125281
sar-size8-roh60p,5,ER-S,18000.01,3011.62,3875.09,518.0,7093729.0,2080,127075
sar-size8-roh60p,5,D-Flow,18000.0,527.12,3624.13,138164.0,75982949.0,3776,13036
sar-size8-roh60p,5,D-Tree,18000.0,996.81,1e+100,268452.0,29866197.0,2304,125281
sar-size8-roh60p,6,ER-S,18000.01,2367.42,2792.89,642.0,7182962.0,2080,127075
sar-size8-roh60p,6,D-Flow,18000.0,268.5,2755.93,150585.0,83560457.0,4128,15630
sar-size8-roh60p,6,D-Tree,18000.0,1007.68,3408.67,243872.0,30566107.0,2304,125281
sar-size8-roh60p,7,ER-S,18000.01,1929.24,2117.7,691.0,6686861.0,2080,127075
sar-size8-roh60p,7,D-Flow,18000.0,152.99,2455.03,539932.0,120532456.0,4480,18224
sar-size8-roh60p,7,D-Tree,18000.0,967.01,2413.04,206969.0,22379529.0,2304,125281
sar-size8-roh60p,8,ER-S,18000.0,1598.69,1811.76,778.0,7157614.0,2080,127075
sar-size8-roh60p,8,D-Flow,18000.01,94.22,1925.83,481753.0,116765653.0,4832,20818
sar-size8-roh60p,8,D-Tree,18000.0,909.31,1940.4,285573.0,24240282.0,2304,125281
sar-size8-roh60p,9,ER-S,18000.01,1353.15,1540.06,910.0,7570896.0,2080,127075
sar-size8-roh60p,9,D-Flow,18000.0,81.27,1537.34,1064382.0,160171975.0,5184,23412
sar-size8-roh60p,9,D-Tree,18000.0,878.1,1634.03,293380.0,23803843.0,2304,125281
sar-size8-roh90p,10,ER-S,18000.01,1067.71,1163.47,1491.0,8598156.0,2080,127075
sar-size8-roh90p,10,D-Flow,18000.01,53.21,1163.47,524142.0,106734629.0,5536,26006
sar-size8-roh90p,10,D-Tree,18000.0,713.38,1191.54,272077.0,22612104.0,2304,125281
sar-size8-roh90p,3,ER-S,18000.0,5801.75,10574.24,222.0,6791460.0,2080,127075
sar-size8-roh90p,3,D-Flow,18000.0,3466.48,7030.71,22601.0,43800666.0,3072,7848
sar-size8-roh90p,3,D-Tree,18000.01,1022.57,1e+100,145906.0,34841316.0,2304,125281
sar-size8-roh90p,4,ER-S,18000.05,3872.83,4915.32,381.0,7111130.0,2080,127075
sar-size8-roh90p,4,D-Flow,18000.0,1489.67,4982.64,131969.0,86758635.0,3424,10442
sar-size8-roh90p,4,D-Tree,18000.01,994.07,1e+100,193477.0,27832234.0,2304,125281
sar-size8-roh90p,5,ER-S,18000.0,2882.01,3353.56,533.0,7392557.0,2080,127075
sar-size8-roh90p,5,D-Flow,18000.0,583.57,3540.83,156030.0,87122886.0,3776,13036
sar-size8-roh90p,5,D-Tree,18000.0,897.37,1e+100,250720.0,30203742.0,2304,125281
sar-size8-roh90p,6,ER-S,18000.01,2218.24,2646.57,636.0,6756677.0,2080,127075
sar-size8-roh90p,6,D-Flow,18000.0,398.11,2699.84,155718.0,85805931.0,4128,15630
sar-size8-roh90p,6,D-Tree,18000.0,838.09,1e+100,321734.0,30788428.0,2304,125281
sar-size8-roh90p,7,ER-S,18000.0,1775.06,2196.16,736.0,6691230.0,2080,127075
sar-size8-roh90p,7,D-Flow,18000.0,169.09,2140.64,493898.0,124435894.0,4480,18224
sar-size8-roh90p,7,D-Tree,18000.01,838.93,2236.05,244788.0,23257969.0,2304,125281
sar-size8-roh90p,8,ER-S,18000.01,1474.12,1698.5,867.0,7848265.0,2080,127075
sar-size8-roh90p,8,D-Flow,18000.01,113.69,1727.89,509180.0,123012604.0,4832,20818
sar-size8-roh90p,8,D-Tree,18000.0,800.01,1964.64,262539.0,22520325.0,2304,125281
sar-size8-roh90p,9,ER-S,18000.0,1239.85,1443.7,1090.0,8481505.0,2080,127075
sar-size8-roh90p,9,D-Flow,18000.01,80.31,1426.21,543904.0,110996631.0,5184,23412
sar-size8-roh90p,9,D-Tree,18000.0,755.83,1462.72,330063.0,25092710.0,2304,125281
sar-size9-roh0p,10,ER-S,18000.01,1598.02,2927.63,171.0,3908398.0,3321,259284
sar-size9-roh0p,10,D-Flow,18000.01,24.87,1845.03,399110.0,103029707.0,7740,39883
sar-size9-roh0p,10,D-Tree,18000.0,910.05,2322.44,155880.0,13487564.0,3609,256330
sar-size9-roh0p,3,ER-S,18000.01,6320.35,29126.32,1.0,2899065.0,3321,259284
sar-size9-roh0p,3,D-Flow,18000.0,2306.44,8368.85,10557.0,25046762.0,4590,12023
sar-size9-roh0p,3,D-Tree,18000.0,1158.35,1e+100,80633.0,14364230.0,3609,256330
sar-size9-roh0p,4,ER-S,18000.01,4551.91,26010.0,12.0,2287181.0,3321,259284
sar-size9-roh0p,4,D-Flow,18000.95,1456.4,6570.81,9392.0,22584056.0,5040,16003
sar-size9-roh0p,4,D-Tree,18000.0,1135.46,1e+100,105066.0,21249979.0,3609,256330
sar-size9-roh0p,5,ER-S,18000.01,3553.11,15336.98,29.0,2663095.0,3321,259284
sar-size9-roh0p,5,D-Flow,18000.01,371.61,5012.56,56383.0,50679422.0,5490,19983
sar-size9-roh0p,5,D-Tree,18000.0,1063.89,1e+100,122572.0,16542180.0,3609,256330
sar-size9-roh0p,6,ER-S,18000.01,2902.78,7612.32,47.0,2837235.0,3321,259284
sar-size9-roh0p,6,D-Flow,18000.01,215.78,4118.69,61837.0,46907633.0,5940,23963
sar-size9-roh0p,6,D-Tree,18000.0,1013.51,1e+100,142886.0,16786252.0,3609,256330
sar-size9-roh0p,7,ER-S,18000.0,2436.11,24281.7,57.0,2727738.0,3321,259284
sar-size9-roh0p,7,D-Flow,18000.01,74.67,2970.54,148508.0,73608209.0,6390,27943
sar-size9-roh0p,7,D-Tree,18000.0,1008.4,1e+100,139748.0,16162801.0,3609,256330
sar-size9-roh0p,8,ER-S,18000.01,2085.04,17982.8,80.0,3095730.0,3321,259284
sar-size9-roh0p,8,D-Flow,18000.01,48.37,2557.55,259279.0,90770003.0,6840,31923
sar-size9-roh0p,8,D-Tree,18000.0,982.18,1e+100,155403.0,16896675.0,3609,256330
sar-size9-roh0p,9,ER-S,18000.01,1816.71,17531.22,63.0,3020184.0,3321,259284
sar-size9-roh0p,9,D-Flow,18000.01,31.14,2344.15,229226.0,89512393.0,7290,35903
sar-size9-roh0p,9,D-Tree,18000.0,820.35,1e+100,324678.0,18296989.0,3609,256330
sar-size9-roh30p,10,ER-S,18000.01,1591.13,1971.83,237.0,4185739.0,3321,259284
sar-size9-roh30p,10,D-Flow,18000.01,32.94,1896.25,434173.0,98743664.0,7740,39883
sar-size9-roh30p,10,D-Tree,18000.01,870.71,1967.03,154566.0,13434264.0,3609,256330
sar-size9-roh30p,3,ER-S,18000.01,6516.67,29818.35,1.0,3650170.0,3321,259284
sar-size9-roh30p,3,D-Flow,18000.0,2408.97,8864.6,11559.0,24648768.0,4590,12023
sar-size9-roh30p,3,D-Tree,18000.0,1086.03,1e+100,81924.0,13572461.0,3609,256330
sar-size9-roh30p,4,ER-S,18000.01,4674.83,23499.13,3.0,2383978.0,3321,259284
sar-size9-roh30p,4,D-Flow,18000.01,941.11,6342.96,53860.0,54207112.0,5040,16003
sar-size9-roh30p,4,D-Tree,18000.0,1120.08,1e+100,98450.0,15609737.0,3609,256330
sar-size9-roh30p,5,ER-S,18000.01,3639.32,30084.8,15.0,2540058.0,3321,259284
sar-size9-roh30p,5,D-Flow,18000.01,448.31,5013.7,65480.0,51388985.0,5490,19983
sar-size9-roh30p,5,D-Tree,18000.0,1073.81,1e+100,93796.0,15244228.0,3609,256330
sar-size9-roh30p,6,ER-S,18000.01,2951.97,27465.7,51.0,2827023.0,3321,259284
sar-size9-roh30p,6,D-Flow,18000.01,236.04,3756.49,55598.0,43172279.0,5940,23963
sar-size9-roh30p,6,D-Tree,18000.0,1045.29,1e+100,100138.0,15115465.0,3609,256330
sar-size9-roh30p,7,ER-S,18000.01,2465.0,11101.72,75.0,3158206.0,3321,259284
sar-size9-roh30p,7,D-Flow,18000.01,84.75,3473.85,179846.0,69662625.0,6390,27943
sar-size9-roh30p,7,D-Tree,18000.02,957.91,1e+100,173591.0,17203100.0,3609,256330
sar-size9-roh30p,8,ER-S,18000.01,2100.76,24416.65,80.0,3177518.0,3321,259284
sar-size9-roh30p,8,D-Flow,18000.01,58.96,3061.32,246225.0,83126075.0,6840,31923
sar-size9-roh30p,8,D-Tree,18000.0,977.16,1e+100,146331.0,16392472.0,3609,256330
sar-size9-roh30p,9,ER-S,18000.01,1815.23,2798.69,148.0,3768484.0,3321,259284
sar-size9-roh30p,9,D-Flow,18000.01,42.9,2458.06,412317.0,99120923.0,7290,35903
sar-size9-roh30p,9,D-Tree,18000.01,929.79,2776.75,128564.0,13050759.0,3609,256330
sar-size9-roh60p,10,ER-S,18000.01,1545.66,2211.21,178.0,4059757.0,3321,259284
sar-size9-roh60p,10,D-Flow,18000.01,27.64,1919.38,442465.0,98546026.0,7740,39883
sar-size9-roh60p,10,D-Tree,18000.01,846.95,2037.87,186377.0,19915673.0,3609,256330
sar-size9-roh60p,3,ER-S,18000.01,6795.59,32752.43,1.0,3309630.0,3321,259284
sar-size9-roh60p,3,D-Flow,18000.1,2744.19,9147.63,10399.0,21957224.0,4590,12023
sar-size9-roh60p,3,D-Tree,18000.0,1155.3,1e+100,72659.0,20838712.0,3609,256330
sar-size9-roh60p,4,ER-S,18000.01,4861.11,32159.55,1.0,2710456.0,3321,259284
sar-size9-roh60p,4,D-Flow,18000.0,846.08,6703.23,63109.0,55694633.0,5040,16003
sar-size9-roh60p,4,D-Tree,18000.0,1058.46,1e+100,120699.0,18288436.0,3609,256330
sar-size9-roh60p,5,ER-S,18000.01,3731.82,28807.57,16.0,2620668.0,3321,259284
sar-size9-roh60p,5,D-Flow,18000.01,362.08,4832.5,54515.0,39582428.0,5490,19983
sar-size9-roh60p,5,D-Tree,18000.02,1046.23,1e+100,131877.0,24564508.0,3609,256330
sar-size9-roh60p,6,ER-S,18000.01,2982.31,31384.41,36.0,2890727.0,3321,259284
sar-size9-roh60p,6,D-Flow,18000.01,228.91,3961.43,63245.0,41281476.0,5940,23963
sar-size9-roh60p,6,D-Tree,18000.0,1033.77,1e+100,116521.0,17706729.0,3609,256330
sar-size9-roh60p,7,ER-S,18000.01,2465.7,31861.58,26.0,2750667.0,3321,259284
sar-size9-roh60p,7,D-Flow,18000.01,75.94,3501.08,213206.0,83736437.0,6390,27943
sar-size9-roh60p,7,D-Tree,18000.03,963.4,1e+100,146325.0,18365873.0,3609,256330
sar-size9-roh60p,8,ER-S,18000.01,2074.67,26031.13,65.0,3339321.0,3321,259284
sar-size9-roh60p,8,D-Flow,18000.01,46.37,2430.62,233540.0,83418873.0,6840,31923
sar-size9-roh60p,8,D-Tree,18000.02,893.37,3013.63,144817.0,15545024.0,3609,256330
sar-size9-roh60p,9,ER-S,18000.01,1791.45,2030.41,138.0,3803907.0,3321,259284
sar-size9-roh60p,9,D-Flow,18000.01,45.13,2213.88,341435.0,93218716.0,7290,35903
sar-size9-roh60p,9,D-Tree,18000.01,884.38,2776.22,165855.0,20068955.0,3609,256330
